iter	RMSE
0	0.7181966256
1	0.7015685479
2	0.686757583
3	0.6737196527
4	0.6626238377
5	0.6530367063
6	0.6446778899
7	0.6373206212
8	0.6308884475
9	0.6253349171
10	0.6204020213
11	0.6162073602
12	0.6124805209
13	0.6091122205
14	0.6059484108
15	0.6033240602
16	0.6008164053
17	0.5986634586
18	0.5966775911
19	0.5948067913
20	0.5932163773
21	0.5915743967
22	0.590120706
23	0.5887323767
24	0.5875453258
25	0.5863842316
26	0.5852966209
27	0.5843741924
28	0.5835234704
29	0.5825812189
30	0.5817529258
31	0.5808636719
32	0.580133044
33	0.5795064097
34	0.5788578866
35	0.578110481
36	0.5775223799
37	0.5768641161
38	0.5763350003
39	0.5757830277
40	0.5752702601
41	0.5747391935
42	0.5743142674
43	0.5739012246
44	0.5734754168
45	0.5730947654
46	0.5726103615
47	0.5723578064
48	0.5719632146
49	0.5715658793
50	0.5712312733
51	0.5709077255
52	0.5706111101
53	0.5703095574
54	0.5700118687
55	0.5697796618
56	0.5694990096
57	0.5691947503
58	0.5689221569
59	0.5686858793
60	0.5683782006
61	0.5681810708
62	0.5680271033
63	0.5677657144
64	0.5675603486
65	0.567390581
66	0.567186795
67	0.5669968596
68	0.5668274561
69	0.5666073068
70	0.5664079911
71	0.5662155278
72	0.5660617456
73	0.5659088491
74	0.5656789244
75	0.5655496031
76	0.5654337924
77	0.5653091489
78	0.5651550274
79	0.5650251938
80	0.5649019996
81	0.5647753357
82	0.5646363543
83	0.5645067242
84	0.564443231
85	0.5643532798
86	0.5642327043
87	0.5641099317
88	0.5639982863
89	0.5639207795
90	0.5637995947
91	0.563707607
92	0.5636176609
93	0.5635398217
94	0.5634396071
95	0.5633486524
96	0.5632451781
97	0.5631547303
98	0.5630057802
99	0.5628722302
100	0.5627753621
101	0.5626763743
102	0.5625611054
103	0.5624628043
104	0.5624038267
105	0.5623144588
106	0.5622566636
107	0.5621942617
108	0.5621232343
109	0.5620605107
110	0.5620073437
111	0.561944924
112	0.5618456806
113	0.561765506
114	0.5616823754
115	0.5615813506
116	0.5615179298
117	0.5614263578
118	0.5613402
119	0.5611961024
120	0.5611304982
121	0.561061662
122	0.5610008303
123	0.5609373031
124	0.5608712041
125	0.5607576318
126	0.5606647415
127	0.5605728566
128	0.5604796256
129	0.5604239535
130	0.5603108646
131	0.5602347848
132	0.5601425832
133	0.5600365787
134	0.5599567112
135	0.5598945015
136	0.5598282579
137	0.5597828639
138	0.5597125365
139	0.5596310699
140	0.5595409368
141	0.5594721846
142	0.5593946626
143	0.5593395708
144	0.5592965653
145	0.5592210179
146	0.5591375921
147	0.5590632201
148	0.5589873032
149	0.5588826571
150	0.5588164391
151	0.5587721898
152	0.5586748486
153	0.5586125283
154	0.5585166746
155	0.558466906
156	0.5583959548
157	0.5582842892
158	0.5582284615
159	0.5581642806
160	0.558071318
161	0.5580189378
162	0.5579292091
163	0.5578549786
164	0.5577732231
165	0.5576990441
166	0.5576289096
167	0.557579091
168	0.557543128
169	0.5574511747
170	0.5573849571
171	0.5573474909
172	0.5572824088
173	0.5572101746
174	0.5571494558
175	0.5570950636
176	0.5570237911
177	0.5569712383
178	0.5569079262
179	0.556843225
180	0.5568085437
181	0.5567611193
182	0.5567107412
183	0.5566644841
184	0.5565807415
185	0.556535416
186	0.5564696456
187	0.5563824113
188	0.5563294989
189	0.5562482042
190	0.5561703051
191	0.5561188972
192	0.556074558
193	0.5560261764
194	0.5559465455
195	0.5558504214
196	0.5557873817
197	0.5557430415
198	0.5556808365
199	0.5556531018
200	0.5555770132
201	0.5555369313
202	0.555464319
203	0.5554226335
204	0.5553648074
205	0.5553278247
206	0.5552548985
207	0.5551959364
208	0.5551521176
209	0.5551131672
210	0.5550307304
211	0.5549590101
212	0.5549087411
213	0.5548501451
214	0.5548159256
215	0.5547715802
216	0.5547335759
217	0.5546868369
218	0.5546430299
219	0.55459383
220	0.5545453488
221	0.5544958448
222	0.5544063859
223	0.55435998
224	0.5543269405
225	0.554271325
226	0.5541688123
227	0.5541144765
228	0.5540465808
229	0.5540009746
230	0.5539873908
231	0.5539492349
232	0.5539095601
233	0.5538484488
234	0.5537940493
235	0.5537466811
236	0.5536924748
237	0.5536635206
238	0.5536334261
239	0.5535851076
240	0.5535350039
241	0.5534785083
242	0.5534260213
243	0.5533916306
244	0.5533266186
245	0.5533122709
246	0.55327777
247	0.553228435
248	0.5531743243
249	0.5531265757
250	0.5530702745
251	0.5530304019
252	0.5529936185
253	0.5529520204
254	0.552909465
255	0.5528794065
256	0.5528312144
257	0.5527832605
258	0.5527245706
259	0.5526924973
260	0.5526523176
261	0.5526087097
262	0.5525788439
263	0.5525491323
264	0.5525105101
265	0.5524749872
266	0.5524394913
267	0.5523877401
268	0.5523491724
269	0.5523157878
270	0.5522465045
271	0.5522116067
272	0.5521984745
273	0.5521553982
274	0.5521295055
275	0.5520843684
276	0.5520382589
277	0.5520045989
278	0.551970368
279	0.5519121667
280	0.5518819416
281	0.5518346273
