iter	Passed	Remaining
0	172	172714
1	182	91140
2	191	63503
3	202	50535
4	215	42952
5	224	37222
6	236	33608
7	248	30766
8	256	28225
9	268	26571
10	276	24888
11	284	23405
12	292	22187
13	299	21116
14	307	20209
15	314	19355
16	323	18720
17	331	18062
18	340	17557
19	347	17028
20	356	16607
21	363	16168
22	372	15836
23	380	15454
24	388	15169
25	398	14921
26	409	14745
27	416	14447
28	424	14228
29	432	13987
30	441	13798
31	448	13581
32	458	13429
33	465	13223
34	475	13110
35	484	12960
36	492	12825
37	500	12680
38	508	12524
39	515	12383
40	523	12233
41	530	12089
42	538	11995
43	546	11876
44	553	11750
45	560	11627
46	576	11691
47	588	11671
48	597	11590
49	606	11530
50	613	11419
51	623	11365
52	635	11355
53	649	11380
54	660	11355
55	670	11303
56	680	11263
57	689	11197
58	700	11172
59	710	11131
60	719	11072
61	727	11005
62	735	10941
63	743	10872
64	751	10813
65	759	10750
66	767	10688
67	774	10614
68	782	10553
69	789	10486
70	797	10435
71	804	10370
72	812	10317
73	820	10267
74	827	10211
75	834	10151
76	841	10089
77	849	10045
78	856	9989
79	865	9950
80	871	9892
81	879	9849
82	886	9796
83	894	9756
84	899	9687
85	907	9643
86	914	9601
87	922	9557
88	930	9519
89	936	9473
90	944	9436
91	952	9395
92	960	9363
93	966	9318
94	974	9279
95	981	9246
96	989	9207
97	996	9173
98	1004	9137
99	1011	9105
100	1018	9065
101	1025	9029
102	1032	8991
103	1039	8954
104	1047	8932
105	1055	8901
106	1063	8874
107	1070	8843
108	1082	8847
109	1091	8829
110	1098	8796
111	1106	8774
112	1114	8745
113	1122	8722
114	1129	8695
115	1137	8667
116	1145	8643
117	1152	8612
118	1160	8589
119	1167	8561
120	1175	8542
121	1182	8512
122	1190	8486
123	1196	8456
124	1204	8428
125	1211	8404
126	1218	8379
127	1226	8354
128	1233	8328
129	1241	8307
130	1248	8280
131	1256	8259
132	1263	8234
133	1271	8214
134	1278	8190
135	1285	8166
136	1292	8141
137	1299	8115
138	1307	8098
139	1315	8078
140	1323	8063
141	1330	8038
142	1337	8014
143	1344	7991
144	1351	7969
145	1359	7952
146	1366	7930
147	1374	7914
148	1382	7897
149	1391	7885
150	1398	7863
151	1405	7843
152	1413	7822
153	1420	7804
154	1428	7786
155	1436	7769
156	1443	7750
157	1451	7736
158	1458	7716
159	1465	7694
160	1472	7673
161	1482	7668
162	1490	7652
163	1497	7631
164	1504	7613
165	1511	7592
166	1517	7571
167	1524	7550
168	1531	7530
169	1538	7513
170	1545	7493
171	1552	7473
172	1559	7453
173	1566	7437
174	1573	7418
175	1580	7400
176	1587	7383
177	1596	7372
178	1603	7354
179	1610	7334
180	1616	7314
181	1623	7296
